"reference_name","era","country","credit_salary","support_role","primary_archetype","secondary_archetype","motif_reason","sprint","climb","stamina","technique","teamwork","ego","fighting","race_fit","game_conversion_note"
"Sepp Kuss","current","United States","7200","mountain_super_domestique","domestique","climber","elite mountain support and grand tour helper profile","52","96","90","84","94","62","88","mountain","fictionalize as climbing guardian who can become emergency ace"
"Wout Poels","modern","Netherlands","5800","mountain_domestique","domestique","climber","mountain support in grand tours and stage wins","58","91","88","84","90","66","86","mountain","fictionalize as high-mountain lieutenant"
"Jonathan Castroviejo","current","Spain","5500","tt_rouleur","domestique","itt","tt engine and mountain pacing support","62","76","92","96","92","54","82","itt/mountain","fictionalize as metronome pacing specialist"
"Michal Kwiatkowski","current","Poland","5900","allround_domestique","domestique","puncheur","world-class rider often used as tactical support","78","80","90","92","88","70","86","hill/mountain","fictionalize as luxury tactical domestique"
"Luke Rowe","current","United Kingdom","5900","road_captain","road_captain","classic","grand tour road captain and classics positioning","66","58","88","90","96","54","84","flat/cobble","fictionalize as peloton commander"
"Geraint Thomas","current","United Kingdom","5900","road_captain","gc","rouleur","leader and support hybrid with captain traits","74","84","94","92","88","70","88","gc/itt","fictionalize as captain who can cover leadership crisis"
"Richie Porte","modern","Australia","5900","mountain_lieutenant","domestique","gc","super-domestique and stage race leader profile","66","90","90","86","86","70","84","mountain","fictionalize as climbing vice-captain"
"Mikel Nieve","modern","Spain","5700","mountain_domestique","domestique","climber","long-serving mountain helper","50","92","88","82","90","54","86","mountain","fictionalize as quiet mountain shield"
"Andrey Amador","modern","Costa Rica","5700","allround_domestique","domestique","rouleur","giro podium-level support and durable helper","64","80","90","86","90","58","84","mountain/ttt","fictionalize as durable stage race worker"
"Winner Anacona","modern","Colombia","5600","mountain_domestique","domestique","climber","climbing support and mountain pacing","50","90","86","80","88","54","84","mountain","fictionalize as altitude helper"
"Robert Gesink","current","Netherlands","5700","mountain_domestique","domestique","climber","veteran climber turned support","56","88","90","84","90","58","86","mountain","fictionalize as veteran climbing mentor"
"Laurens De Plus","current","Belgium","5700","mountain_domestique","domestique","climber","mountain support and stage race engine","58","88","88","84","88","58","84","mountain","fictionalize as young climbing engine"
"Wilco Kelderman","current","Netherlands","5700","gc_support","domestique","gc","gc-level support and backup leader","62","86","90","88","86","64","82","gc","fictionalize as backup GC stabilizer"
"Tao Geoghegan Hart","current","United Kingdom","5900","gc_support","gc","domestique","gc winner profile usable as luxury support","62","88","88","86","82","68","84","mountain","fictionalize as reluctant co-leader support"
"Dylan van Baarle","current","Netherlands","5800","cobble_guard","domestique","classic_cobble","cobbled classics and flat protection","76","62","90","92","88","62","88","cobble/wind","fictionalize as cobble bodyguard"
"Nathan Van Hooydonck","modern","Belgium","5500","flat_guard","domestique","rouleur","flat-road protection and classics support","72","58","88","88","92","50","82","flat/cobble","fictionalize as wind-wall protector"
"Tony Martin","modern","Germany","5800","tt_rouleur","domestique","itt","world tt engine and peloton control","72","58","94","99","86","66","84","itt/flat","fictionalize as time-trial tractor"
"Tim Declercq","current","Belgium","5500","peloton_tractor","domestique","rouleur","long peloton control and chase work","62","50","94","82","98","46","88","flat","fictionalize as endless-front worker"
"Julien Vermote","current","Belgium","5500","peloton_worker","domestique","rouleur","long-serving workhorse","64","52","88","84","92","48","82","flat","fictionalize as early-stage tempo setter"
"Iljo Keisse","modern","Belgium","5800","leadout_road_captain","leadout","track_tactic","track-smart leadout and road captain","72","40","84","94","94","50","80","flat","fictionalize as sprint train conductor"
"Michael Morkov","current","Denmark","6900","leadout_master","leadout","track_tactic","elite leadout specialist","78","42","84","96","98","52","82","flat","fictionalize as leadout professor"
"Mark Renshaw","modern","Australia","6900","leadout_master","leadout","sprinter","famous sprint leadout specialist","82","38","82","94","96","54","80","flat","fictionalize as final-kilometer pilot"
"Bernhard Eisel","modern","Austria","6000","leadout_road_captain","leadout","classic","leadout and road captain role","76","52","88","88","92","54","84","flat/cobble","fictionalize as veteran sprint marshal"
"George Hincapie","modern","United States","5600","road_captain","domestique","classic","long-serving grand tour and classics support","74","68","92","88","96","54","86","cobble/ttt","fictionalize as loyal road captain"
"Jens Voigt","modern","Germany","6000","breakaway_worker","domestique","stage_hunter","tireless workhorse and breakaway icon","66","70","94","84","92","66","96","breakaway","fictionalize as tireless morale engine"
"Stuart O'Grady","modern","Australia","5800","utility_road_captain","domestique","leadout","classics and leadout versatility","78","58","90","88","90","62","88","flat/cobble","fictionalize as veteran utility captain"
"Eros Poli","modern","Italy","5800","leadout_domestique","domestique","stage_hunter","leadout work and surprise escape profile","68","54","90","82","90","58","92","breakaway","fictionalize as giant surprise worker"
"Viatcheslav Ekimov","modern","Russia","5700","tt_domestique","domestique","itt","ttt and grand tour support engine","68","62","92","94","88","58","84","itt/ttt","fictionalize as disciplined tempo rider"
"Jose Luis Rubiera","modern","Spain","5500","mountain_domestique","domestique","climber","long-serving mountain support","48","90","88","82","92","48","84","mountain","fictionalize as quiet mountain lieutenant"
"Pavel Padrnos","modern","Czech Republic","5500","flat_domestique","domestique","rouleur","grand tour flat protection and tempo","60","54","90","82","90","48","82","flat/ttt","fictionalize as formation worker"
"Yaroslav Popovych","modern","Ukraine","5700","gc_support","domestique","rouleur","former prospect turned strong helper","66","76","88","84","86","62","82","flat/mountain","fictionalize as backup leader domestique"
"Daniel Navarro","modern","Spain","5700","mountain_domestique","domestique","climber","climbing support and stage hunter","52","88","86","82","86","60","84","mountain","fictionalize as second-climb helper"
"Sergio Henao","modern","Colombia","5900","mountain_domestique","domestique","climber","climbing support and hilly strength","60","90","86","84","84","64","86","mountain/hill","fictionalize as punchy climbing helper"
"Nicolas Roche","modern","Ireland","5800","road_captain","domestique","gc","stage race support and tactical veteran","64","78","88","86","88","62","86","hill/mountain","fictionalize as multilingual tactical captain"
"Tanel Kangert","modern","Estonia","5600","mountain_domestique","domestique","rouleur","stage race support and mountain durability","58","82","90","84","88","54","84","mountain/ttt","fictionalize as durable baltic helper"
"Matteo Tosatto","modern","Italy","5400","road_captain","road_captain","rouleur","long-serving road captain and protector","62","54","88","86","94","46","82","flat","fictionalize as old-school captain"
"Fabio Sabatini","modern","Italy","5400","leadout_worker","leadout","sprinter","sprint train support","76","38","82","88","92","50","78","flat","fictionalize as second-last leadout"
"Jacopo Guarnieri","current","Italy","5500","leadout_worker","leadout","sprinter","sprint train positioning","78","36","82","90","92","50","80","flat","fictionalize as positioning leadout"
"Maximiliano Richeze","modern","Argentina","6900","leadout_master","leadout","sprinter","renowned leadout craft","80","38","84","92","94","52","82","flat","fictionalize as final-bend specialist"
"Greg Henderson","modern","New Zealand","5500","leadout_worker","leadout","sprinter","leadout and sprint support","78","40","82","88","90","52","80","flat","fictionalize as experienced sprint pilot"
"Koen de Kort","modern","Netherlands","5400","road_captain","domestique","leadout","road captain and leadout work","70","44","86","88","92","48","80","flat","fictionalize as calm sprint captain"
"Svein Tuft","modern","Canada","5400","tt_rouleur","domestique","team time trial and flat engine","64","52","92","94","90","48","82","ttt/flat","fictionalize as heavy-duty TTT worker",
"Michael Hepburn","current","Australia","5500","tt_rouleur","domestique","itt","track and TTT support","68","52","90","92","88","50","80","ttt/flat","fictionalize as disciplined formation engine"
"Luke Durbridge","current","Australia","5600","tt_rouleur","domestique","classic","flat classics and TT engine","72","54","90","92","88","52","84","flat/cobble","fictionalize as long-pull specialist"
"Daryl Impey","modern","South Africa","5700","utility_domestique","domestique","puncheur","versatile support and stage hunter","74","66","88","86","86","60","84","hill/flat","fictionalize as tactical utility rider"
"Sylvain Chavanel","modern","France","5900","utility_road_captain","domestique","stage_hunter","breakaway and classics utility","72","68","90","88","86","66","90","breakaway/cobble","fictionalize as attacking road captain"
"Christophe Laporte","current","France","5900","leadout_classic","leadout","classic","sprint support and classics strength","84","62","88","90","86","64","86","flat/cobble","fictionalize as leadout who can win when freed"
"Mike Teunissen","current","Netherlands","5700","leadout_classic","leadout","classic","leadout and cobbled classics support","78","58","86","88","88","56","82","flat/cobble","fictionalize as cobble leadout utility"
"Nils Politt","current","Germany","5800","flat_rouleur","domestique","classic_cobble","flat engine and cobbled power","76","58","92","88","86","60","88","flat/cobble","fictionalize as windbreak engine"
"Bob Jungels","current","Luxembourg","5800","allround_domestique","domestique","rouleur","all-round support and stage wins","70","76","88","88","84","64","84","hill/itt","fictionalize as versatile mid-race worker"
"Jan Bakelants","modern","Belgium","5800","utility_domestique","domestique","stage_hunter","stage hunter and team support","66","70","86","84","84","62","84","hill/breakaway","fictionalize as opportunist helper"
