reference_name,source_count,source_labels,credit_salary,primary_archetype,secondary_archetype,motif_reason,sprint,climb,stamina,technique,teamwork,ego,fighting,race_fit,game_conversion_note
Eddy Merckx,15,Grand Tour GC / Grand Tour points / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Vuelta a Espana GC / World road race / Paris-Roubaix / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia / Paris-Nice / Criterium du Dauphine / Tour de Suisse,11800,legend_allround,gc,Referenced from 15 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Tadej Pogačar,13,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / World road race / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia / Paris-Nice / Tirreno-Adriatico / Criterium du Dauphine / Tour de Suisse,11800,legend_allround,gc,Referenced from 13 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Bernard Hinault,12,Grand Tour GC / Grand Tour points / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Vuelta a Espana GC / World road race / Paris-Roubaix / Liege-Bastogne-Liege / Giro di Lombardia / Criterium du Dauphine,11800,legend_allround,gc,Referenced from 12 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Sean Kelly,10,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Vuelta a Espana GC / Paris-Roubaix / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia / Paris-Nice / Tour de Suisse,11800,legend_allround,gc,Referenced from 10 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Fausto Coppi,9,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / World road race / Paris-Roubaix / Milan-San Remo / Giro di Lombardia,11500,legend_allround,gc,Referenced from 9 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Giuseppe Saronni,9,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Giro d'Italia GC / World road race / Milan-San Remo / Giro di Lombardia / Tirreno-Adriatico / Tour de Suisse,11500,legend_allround,gc,Referenced from 9 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Jonas Vingegaard,9,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Vuelta a Espana GC / Paris-Nice / Tirreno-Adriatico / Criterium du Dauphine,11500,legend_allround,gc,Referenced from 9 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Louison Bobet,9,Grand Tour GC / Grand Tour mountains / Tour de France GC / World road race / Paris-Roubaix / Milan-San Remo / Giro di Lombardia / Paris-Nice / Criterium du Dauphine,11500,legend_allround,gc,Referenced from 9 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Primož Roglič,9,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Giro d'Italia GC / Vuelta a Espana GC / Liege-Bastogne-Liege / Paris-Nice / Tirreno-Adriatico / Criterium du Dauphine,11500,legend_allround,gc,Referenced from 9 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Tony Rominger,9,Grand Tour GC / Grand Tour points / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / Vuelta a Espana GC / Giro di Lombardia / Paris-Nice / Tirreno-Adriatico,11500,legend_allround,gc,Referenced from 9 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Clásica de San Sebastián,8,Paris-Roubaix / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia / Paris-Nice / Tirreno-Adriatico / Criterium du Dauphine / Tour de Suisse,11300,legend_allround,classic_cobble,Referenced from 8 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Felice Gimondi,8,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / World road race / Paris-Roubaix / Milan-San Remo / Giro di Lombardia,11300,legend_allround,gc,Referenced from 8 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Gino Bartali,8,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Milan-San Remo / Giro di Lombardia / Tour de Suisse,11300,legend_allround,gc,Referenced from 8 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Laurent Jalabert,8,Grand Tour GC / Grand Tour points / Grand Tour mountains / Grand Tour stage wins / World time trial / Milan-San Remo / Giro di Lombardia / Paris-Nice,11300,legend_allround,gc,Referenced from 8 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Rik Van Looy,8,Grand Tour points / Grand Tour mountains / Grand Tour stage wins / World road race / Paris-Roubaix / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia,11300,legend_allround,sprint,Referenced from 8 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Roger De Vlaeminck,8,Grand Tour points / Grand Tour stage wins / Paris-Roubaix / Milan-San Remo / Liege-Bastogne-Liege / Giro di Lombardia / Tirreno-Adriatico / Tour de Suisse,11300,legend_allround,sprint,Referenced from 8 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Alberto Contador,7,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Vuelta a Espana GC / Paris-Nice / Tirreno-Adriatico,9400,gc,stage_hunter,Referenced from 7 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Alejandro Valverde,7,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Vuelta a Espana GC / World road race / Liege-Bastogne-Liege / Criterium du Dauphine,11000,legend_allround,gc,Referenced from 7 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Alfredo Binda,7,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / World road race / Milan-San Remo / Giro di Lombardia,11000,legend_allround,gc,Referenced from 7 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Chris Froome,7,Grand Tour GC / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Vuelta a Espana GC / Criterium du Dauphine,11000,legend_allround,gc,Referenced from 7 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Jacques Anquetil,7,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Liege-Bastogne-Liege / Paris-Nice / Criterium du Dauphine,11000,legend_allround,gc,Referenced from 7 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Jan Janssen,7,Grand Tour GC / Grand Tour points / Tour de France GC / Vuelta a Espana GC / World road race / Paris-Roubaix / Paris-Nice,9400,gc,sprint,Referenced from 7 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Joop Zoetemelk,7,Grand Tour GC / Grand Tour mountains / Tour de France GC / Vuelta a Espana GC / World road race / Paris-Nice / Tirreno-Adriatico,11000,legend_allround,gc,Referenced from 7 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Vincenzo Nibali,7,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Milan-San Remo / Giro di Lombardia / Tirreno-Adriatico,11000,legend_allround,gc,Referenced from 7 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
World War II,7,Tour de France GC / Giro d'Italia GC / Vuelta a Espana GC / Paris-Roubaix / Liege-Bastogne-Liege / Paris-Nice / Tour de Suisse,9400,gc,classic_cobble,Referenced from 7 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Yellow jersey statistics,7,Grand Tour GC / Grand Tour points / Grand Tour mountains / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Vuelta a Espana GC,9400,gc,sprint,Referenced from 7 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Alex Zülle,6,Grand Tour GC / Grand Tour stage wins / Vuelta a Espana GC / World time trial / Paris-Nice / Tour de Suisse,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Alexander Vinokourov,6,Grand Tour GC / Vuelta a Espana GC / Liege-Bastogne-Liege / Paris-Nice / Criterium du Dauphine / Tour de Suisse,9200,gc,puncheur,Referenced from 6 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Denis Menchov,6,Grand Tour GC / Grand Tour points / Grand Tour mountains / Grand Tour stage wins / Giro d'Italia GC / Vuelta a Espana GC,9200,gc,sprint,Referenced from 6 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Egan Bernal,6,Grand Tour GC / Grand Tour stage wins / Tour de France GC / Giro d'Italia GC / Paris-Nice / Tour de Suisse,9200,gc,stage_hunter,Referenced from 6 major race/classification source(s),70,93,99,93,82,89,98,mountain/itt,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Ferdinand Kübler,6,Grand Tour GC / Grand Tour points / Tour de France GC / World road race / Liege-Bastogne-Liege / Tour de Suisse,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Franco Bitossi,6,Grand Tour points / Grand Tour mountains / Grand Tour stage wins / Giro di Lombardia / Tirreno-Adriatico / Tour de Suisse,10800,legend_allround,sprint,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Freddy Maertens,6,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Vuelta a Espana GC / World road race / Paris-Nice,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
Gianni Bugno,6,Grand Tour GC / Grand Tour points / Grand Tour stage wins / Giro d'Italia GC / World road race / Milan-San Remo,10800,legend_allround,gc,Referenced from 6 major race/classification source(s),95,95,99,99,80,99,99,hill/breakaway,"Use only as research motif; create fictional name, nationality variant, visual design, and career history before game use"
