"reference_name","era","country","credit_salary","primary_archetype","secondary_archetype","motif_reason","sprint","climb","stamina","technique","teamwork","ego","fighting","race_fit","game_conversion_note"
"Eddy Merckx","classic","Belgium","9400","legend_allround","gc","grand tour and classics dominance","92","94","98","96","76","96","98","all","game profile: ultimate all-round legend with high ego"
"Bernard Hinault","classic","France","9400","legend_allround","gc","grand tour dominance and aggressive racing","82","94","96","92","74","94","99","mountain/itt/hill","game profile: ruthless patron-type ace"
"Fausto Coppi","historical","Italy","9300","legend_allround","climber","giro tour and mountain legend","74","97","95","90","70","88","95","mountain/hill","game profile: elegant mountain-era icon"
"Jacques Anquetil","historical","France","8600","gc","itt","tour dominance and time trial control","72","84","94","98","68","92","84","itt/gc","game profile: cold precision GC specialist"
"Miguel Indurain","modern","Spain","8700","gc","itt","five tour wins and tt power","70","86","98","99","78","82","88","itt/mountain","game profile: silent engine GC ace"
"Alfredo Binda","historical","Italy","9200","legend_allround","sprinter","early giro dominance and stage wins","88","86","92","90","68","90","92","hill/flat","game profile: early-era superstar"
"Gino Bartali","historical","Italy","8900","gc","climber","tour and giro mountain-era champion","70","96","95","88","80","86","96","mountain","game profile: resilient climbing champion"
"Felice Gimondi","classic","Italy","9200","gc","allround","winner across grand tours","76","88","93","90","78","84","90","gc","game profile: complete stage race ace"
"Alberto Contador","modern","Spain","8900","gc","climber","explosive grand tour attacks","68","97","92","88","66","94","96","mountain","game profile: acceleration-heavy GC attacker"
"Chris Froome","modern","United Kingdom","8800","gc","climber","grand tour control and climbing seated attacks","64","95","94","90","82","86","90","mountain/itt","game profile: data-driven mountain GC ace"
"Vincenzo Nibali","modern","Italy","8900","gc","descender","grand tour winner and tactical descender","70","91","93","95","78","88","94","mountain/cobble","game profile: shark-like tactical GC rider"
"Primoz Roglic","current","Slovenia","8900","gc","itt","vuelta dominance and punchy finishes","76","91","92","92","76","88","94","mountain/itt/hill","game profile: converted-sport late bloomer"
"Tadej Pogacar","current","Slovenia","9300","legend_allround","puncheur","grand tour and monument versatility","88","96","95","94","72","94","96","all","game profile: modern prodigy all-rounder"
"Jonas Vingegaard","current","Denmark","8800","gc","climber","tour-winning mountain specialist","62","98","94","90","84","82","92","mountain","game profile: lightweight high-altitude GC ace"
"Greg LeMond","modern","United States","8900","gc","itt","tour winner and comeback story","78","88","92","94","78","86","94","itt/gc","game profile: comeback GC hero"
"Marco Pantani","modern","Italy","9000","climber","gc","pure climbing attacks and giro-tour double","58","100","86","82","58","92","99","mountain","game profile: fragile explosive climber"
"Nairo Quintana","modern","Colombia","8800","climber","gc","giro/vuelta winner and high mountain style","54","97","91","84","72","78","90","mountain","game profile: altitude climber"
"Egan Bernal","current","Colombia","8800","gc","climber","tour and giro winner","62","94","90","86","78","78","92","mountain","game profile: young recovery GC rider"
"Richard Carapaz","current","Ecuador","6300","climber","stage_hunter","giro winner and aggressive racing","64","93","90","86","76","86","94","mountain/hill","game profile: attacking Andean ace"
"Cadel Evans","modern","Australia","6200","gc","rouleur","tour winner with durable all-round style","74","86","94","90","78","82","92","gc/hill","game profile: durable defensive GC ace"
"Bradley Wiggins","modern","United Kingdom","8600","itt","gc","tour winner and tt specialist","66","80","92","99","78","84","84","itt","game profile: track-to-road TT king"
"Stephen Roche","classic","Ireland","8800","gc","puncheur","triple crown season","78","88","91","90","76","86","92","gc/hill","game profile: one-season peak all-rounder"
"Jan Ullrich","modern","Germany","8700","gc","itt","tour winner and powerful engine","74","88","94","96","70","82","86","itt/gc","game profile: huge-engine GC rival"
"Tony Rominger","modern","Switzerland","8700","gc","itt","vuelta and giro champion","70","88","92","95","72","84","86","itt/gc","game profile: precision stage-race specialist"
"Roberto Heras","modern","Spain","8800","climber","gc","vuelta climbing specialist","50","96","88","82","70","80","90","mountain","game profile: steep-gradient specialist"
"Mark Cavendish","modern","United Kingdom","6200","sprinter","leadout_finish","record tour sprint wins","100","38","78","88","70","92","88","flat","game profile: pure finish-line predator"
"Mario Cipollini","modern","Italy","8000","sprinter","showman","mass sprint icon","99","30","74","84","66","96","82","flat","game profile: flamboyant sprint monarch"
"Alessandro Petacchi","modern","Italy","6100","sprinter","leadout_finish","grand tour sprint stage volume","98","34","78","86","72","88","82","flat","game profile: leadout-dependent finisher"
"Erik Zabel","modern","Germany","8000","sprinter","points","green jersey consistency","92","52","88","88","80","76","84","flat/hill","game profile: consistent points hunter"
"Peter Sagan","modern","Slovakia","8200","puncheur","sprinter","points jerseys and classics versatility","94","72","90","96","70","92","92","flat/hill/cobble","game profile: entertainer all-terrain scorer"
"Andre Greipel","modern","Germany","8100","sprinter","power","elite bunch sprint power","97","32","80","82","78","82","86","flat","game profile: high-watt sprint tank"
"Marcel Kittel","modern","Germany","7900","sprinter","pure_speed","peak sprint speed","99","28","74","80","70","86","78","flat","game profile: top-speed specialist"
"Robbie McEwen","modern","Australia","8100","sprinter","positioning","chaotic sprint positioning","96","40","78","92","62","90","88","flat","game profile: solo-position sprint artist"
"Freddy Maertens","classic","Belgium","9200","sprinter","allround","grand tour stage volume and worlds","96","74","90","88","68","90","92","flat/hill","game profile: powerful classic sprinter"
"Djamolidine Abdoujaparov","modern","Uzbekistan","8200","sprinter","chaos","distinctive aggressive sprinting","97","35","76","78","58","94","92","flat","game profile: wild high-risk sprinter"
"Jasper Philipsen","current","Belgium","8000","sprinter","positioning","modern grand tour sprint winner","96","42","80","88","72","86","84","flat","game profile: modern positioning sprinter"
"Caleb Ewan","current","Australia","8000","sprinter","pure_speed","low-aero sprint profile","96","34","74","84","68","84","80","flat","game profile: compact aero finisher"
"Sam Bennett","current","Ireland","8000","sprinter","points","grand tour sprint and points wins","94","40","80","84","72","82","84","flat","game profile: reliable points sprinter"
"Elia Viviani","current","Italy","8000","sprinter","track_speed","track-road sprint crossover","93","42","78","86","72","80","80","flat","game profile: track technique sprinter"
"Federico Bahamontes","historical","Spain","6300","climber","kom","grand tour mountains legend","46","100","88","82","58","86","96","mountain","game profile: pure mountain king"
"Luis Herrera","classic","Colombia","6300","climber","kom","first Colombian grand tour winner and climber","44","99","88","80","64","84","96","mountain","game profile: pioneering altitude climber"
"Charly Gaul","historical","Luxembourg","9000","climber","gc","high mountain and bad weather legend","50","99","90","82","62","86","98","mountain/weather","game profile: storm mountain specialist"
"Lucien Van Impe","classic","Belgium","6200","climber","kom","tour mountains specialist","48","97","88","80","66","80","92","mountain","game profile: KOM specialist"
"Richard Virenque","modern","France","6200","climber","kom","tour mountains classification icon","54","95","86","82","68","86","92","mountain","game profile: crowd-favorite mountain hunter"
"Jose Manuel Fuente","classic","Spain","8900","climber","gc","aggressive mountain racing","48","98","86","78","56","90","95","mountain","game profile: reckless mountain attacker"
"Claudio Chiappucci","modern","Italy","6300","stage_hunter","climber","long-range attacking","62","90","90","84","60","92","96","mountain/hill","game profile: long-range chaos maker"
"Andy Schleck","modern","Luxembourg","8700","climber","gc","tour mountain contender","54","96","86","82","72","78","88","mountain","game profile: elegant climbing GC talent"
"Joaquim Rodriguez","modern","Spain","6200","puncheur","climber","steep finishes and hilly classics","72","92","86","86","66","90","92","hill/mountain","game profile: steep-wall finisher"
"Romain Bardet","current","France","6200","climber","stage_hunter","grand tour podium and mountain attacks","58","92","88","86","74","80","90","mountain","game profile: expressive mountain attacker"
"Thibaut Pinot","modern","France","6300","climber","stage_hunter","mountain stages and emotional popularity","56","94","86","82","70","84","94","mountain","game profile: emotional climber"
"Johan Museeuw","modern","Belgium","6300","classic_cobble","rouleur","roubaix/flanders legend","82","62","92","96","78","88","94","cobble","game profile: cobbled classics boss"
"Fabian Cancellara","modern","Switzerland","6200","itt","classic_cobble","tt and monument dominance","86","64","96","99","76","88","92","itt/cobble","game profile: locomotive classics rider"
"Tom Boonen","modern","Belgium","8300","classic_cobble","sprinter","roubaix/flanders and sprint power","92","58","90","94","74","90","94","cobble/flat","game profile: cobble sprint king"
"Roger De Vlaeminck","classic","Belgium","9300","classic_cobble","allround","paris-roubaix record and all-terrain class","88","76","94","98","68","92","94","cobble/hill","game profile: technical classics legend"
"Rik Van Looy","classic","Belgium","8200","classic_cobble","sprinter","monument and sprint versatility","92","70","92","90","70","90","92","cobble/hill/flat","game profile: classics emperor"
"Sean Kelly","classic","Ireland","9300","classic_allround","sprinter","monuments and points consistency","90","78","94","92","74","86","94","hill/cobble/flat","game profile: hardman points classic rider"
"Philippe Gilbert","modern","Belgium","6200","puncheur","classic","hilly classics and monument range","84","82","90","92","72","88","92","hill/cobble","game profile: uphill finish master"
"Alejandro Valverde","modern","Spain","8800","puncheur","gc","hilly classics and grand tour consistency","84","86","92","90","70","86","90","hill/mountain","game profile: veteran hill finisher"
"Mathieu van der Poel","current","Netherlands","6300","classic_cobble","puncheur","modern explosive classics star","92","76","88","98","64","94","94","cobble/hill","game profile: explosive multi-surface star"
"Wout van Aert","current","Belgium","6300","rouleur","sprinter","all-terrain stage and classics rider","94","76","92","96","84","84","94","flat/cobble/itt","game profile: team-capable super rouleur"
"Greg Van Avermaet","modern","Belgium","6200","classic","puncheur","olympic and cobbled classics strength","84","72","90","90","78","84","90","cobble/hill","game profile: durable classics finisher"
"Paolo Bettini","modern","Italy","6200","puncheur","classic","worlds and hilly classics","82","82","88","92","72","88","92","hill","game profile: sharp tactical puncheur"
"Francesco Moser","classic","Italy","6200","rouleur","classic","power classics and hour record","84","70","94","94","72","88","90","itt/cobble","game profile: power rouleur icon"
"Tony Martin","modern","Germany","6000","itt","rouleur","world time trial dominance","72","58","94","99","82","78","84","itt/ttt","game profile: pure TT engine"
"Filippo Ganna","current","Italy","6000","itt","rouleur","modern tt and track power","78","58","92","99","78","82","84","itt/flat","game profile: giant TT specialist"
"Chris Boardman","modern","United Kingdom","6000","itt","prologue","prologue and hour-record profile","70","54","88","98","70","78","80","itt","game profile: prologue specialist"
"Rohan Dennis","current","Australia","6000","itt","rouleur","world tt champion","72","60","90","98","70","80","82","itt","game profile: volatile TT specialist"
"Michael Rogers","modern","Australia","5900","itt","rouleur","world tt titles and stage racing support","68","64","90","96","82","72","82","itt/ttt","game profile: TT support leader"
"Stefan Kung","current","Switzerland","6100","itt","rouleur","european tt and classics engine","76","62","92","96","80","78","86","itt/cobble","game profile: break-pulling engine"
"Geraint Thomas","current","United Kingdom","6000","gc","rouleur","tour winner and road captain traits","74","84","94","92","86","78","88","gc/itt","game profile: captain GC rouleur"
"Jens Voigt","modern","Germany","6100","breakaway","domestique","long breakaways and team work","66","70","94","84","92","76","96","breakaway","game profile: tireless escape specialist"
"George Hincapie","modern","United States","5800","domestique","classic","road captain and classics durability","74","68","92","88","94","66","86","cobble/ttt","game profile: loyal road captain"
"Michael Morkov","current","Denmark","5600","leadout","track_tactic","elite sprint leadout","78","42","84","94","96","58","82","flat","game profile: leadout professor"
"Luke Rowe","current","United Kingdom","5600","road_captain","domestique","grand tour road captain role","66","58","88","90","94","58","84","flat/cobble","game profile: tactical captain"
"Sepp Kuss","current","United States","5800","domestique","climber","mountain domestique and grand tour winner","52","96","90","84","92","68","88","mountain","game profile: climbing super-domestique"
"Tim Declercq","current","Belgium","5600","domestique","rouleur","long peloton control","62","50","92","82","96","50","88","flat","game profile: peloton tractor"
"Eros Poli","modern","Italy","5900","domestique","stage_hunter","leadout and famous mountain-stage escape","68","54","90","82","90","66","92","breakaway","game profile: giant surprise escape rider"
"Stuart O'Grady","modern","Australia","6000","rouleur","leadout","classics and leadout versatility","78","58","90","88","86","72","88","flat/cobble","game profile: veteran utility rider"
"Thomas De Gendt","current","Belgium","6300","breakaway","stage_hunter","long-range attacks","64","78","92","84","62","86","96","breakaway/mountain","game profile: escape artist"
"Magnus Cort","current","Denmark","8100","stage_hunter","sprinter","breakaway and reduced sprint wins","82","68","88","86","68","82","88","breakaway/hill","game profile: stage-sniping finisher"
"Julian Alaphilippe","current","France","6300","puncheur","stage_hunter","world champion and explosive hill attacks","82","84","86","92","66","92","94","hill","game profile: emotional attack artist"
"Matej Mohoric","current","Slovenia","6200","stage_hunter","descender","descending and tactical breakaways","76","74","88","96","70","84","92","breakaway/gravel","game profile: technical descent strategist"
