team,priority,rider_no,rider_name,assignment,credit,ace_aptitude,support_aptitude,primary_archetype,secondary_archetype,roles
Team 01,平坦,45,Mads Pedersen,エース候補,10800,93,81,スプリンター,パンチャー,スプリントエース / 丘陵エース / ステージハンター
Team 01,平坦,100,Ilan Van Wilder,エース候補,5900,75,75,総合型,クライマー,山岳賞ハンター / 山岳アシスト / 山岳ペースメーカー
Team 01,平坦,273,Taco van der Hoorn,支援,3000,63,78,クラシック型,パンチャー,ロードキャプテン / 平坦アシスト / 石畳護衛
Team 01,平坦,260,Alessandro Borgo,支援,3100,66,73,TT・ルーラー型,クラシック型,TT牽引 / 集団コントローラー / TTスペシャリスト
Team 01,平坦,234,Arjen Livyns,支援,3550,69,69,パンチャー,クラシック型,ステージハンター / 逃げ屋 / ポジションキーパー
Team 01,平坦,279,Pavel Sivakov,支援,3100,62,75,クライマー,総合型,山岳賞ハンター / 山岳アシスト / 集団コントローラー
Team 01,平坦,183,Johan Price-Pejtersen,支援,6050,71,81,TT・ルーラー型,総合型,TTスペシャリスト / 平坦アシスト / 集団コントローラー
Team 01,平坦,157,Jonas Rickaert,支援,4350,73,69,スプリンター,クライマー,ロードキャプテン / 山岳賞ハンター / リードアウト
Team 02,丘陵,1,Tadej Pogacar,エース候補,20000,100,83,総合型,パンチャー,総合エース / 山岳賞ハンター / 丘陵エース
Team 02,丘陵,274,Jordan Labrosse,支援,2800,63,71,TT・ルーラー型,クラシック型,集団コントローラー / TTスペシャリスト / TT牽引
Team 02,丘陵,296,Jasper De Buyst,支援,2800,60,72,スプリンター,TT・ルーラー型,リードアウト / 最終発射台 / スプリントトレイン
Team 02,丘陵,249,Floris Van Tricht,エース候補,2850,68,63,スプリンター,クライマー,山岳賞ハンター / リードアウト / 下り牽引
Team 02,丘陵,283,Florian Vermeersch,支援,2850,62,78,クラシック型,パンチャー,ロードキャプテン / 平坦アシスト / 石畳護衛
