reference_event,year,real_world_category,motif_type,game_event_type,terrain,weather_or_condition,key_stats,mental_axis,gameplay_conversion,fictional_event_name,status
Tour de France final time trial Lemond vs Fignon,1989,Grand Tour,final_tt_reversal,grand_tour_decider,itt,high_pressure,"technique/stamina/ego","負けん気/冷静さ","最終TTで総合順位が数秒差で逆転する高緊張イベント","最終時計台の逆転劇",seed
Alpe d'Huez duel Hinault and Lemond,1986,Grand Tour,mountain_duel,grand_tour_mountain,mountain,crowd_pressure,"climb/stamina/teamwork","エゴ/チームワーク","同一チーム内のエース関係と山岳決戦を組み合わせる","双頭エースの山頂決戦",seed
Pantani Galibier Les Deux Alpes,1998,Grand Tour,bad_weather_mountain_attack,grand_tour_mountain,mountain,rain_cold,"climb/fighting/stamina","負けん気/エゴ","悪天候の超級山岳で大逆転アタックが発生する","嵐の女王山岳",seed
Coppi Cuneo Pinerolo long raid,1949,Grand Tour,long_range_mountain_raid,stage_hunter,mountain,long_distance,"climb/stamina/fighting","孤高/負けん気","長距離山岳逃げが成功すると伝説ポイントを獲得","夜明け前の大山岳逃走",seed
Gavia snow Giro stage,1988,Grand Tour,extreme_weather_survival,grand_tour_mountain,mountain,snow_cold,"stamina/technique/fighting","耐久/恐怖耐性","寒冷・雪・補給失敗で全員が消耗するサバイバルステージ","白嶺の凍結ステージ",seed
Froome Finestre Giro raid,2018,Grand Tour,long_range_gc_attack,grand_tour_mountain,mountain,solo_attack,"climb/stamina/ego","勝負勘/エゴ","残り80km級の総合逆転アタックを選択肢化","未計算の峠襲撃",seed
Contador Fuente De attack,2012,Grand Tour,tactical_ambush,grand_tour_hill,hill,crosswind_hill,"stamina/technique/ego","エゴ/負けん気","総合勢の油断を突く中級山岳奇襲","谷間の奇襲ステージ",seed
Vingegaard Pogacar Granon collapse,2022,Grand Tour,team_pressure_crack,grand_tour_mountain,mountain,team_attack,"climb/teamwork/stamina","チームワーク/精神耐久","複数アシストの波状攻撃でライバルのメンタルを削る","山岳列車の包囲網",seed
Pogacar Planche des Belles Filles TT,2020,Grand Tour,climb_tt_reversal,grand_tour_decider,itt_climb,final_pressure,"technique/climb/fighting","負けん気/集中","登坂TTで総合逆転が起きる最終決戦","坂道時計台の若き逆転",seed
Nibali cobbled Tour stage,2014,Grand Tour,cobble_gc_selection,grand_tour_cobble,cobble,rain_crash,"technique/stamina/fighting","冷静さ/負けん気","グランツール中に石畳ステージを入れ、総合勢をふるい落とす","大周回の石畳裁判",seed
Echelon Tour crosswinds,2013,Grand Tour,crosswind_split,grand_tour_flat,flat,wind,"teamwork/technique/stamina","チームワーク/判断","横風分断で集団が割れ、ロードキャプテンが重要になる","海風の分断線",seed
Tourmalet mountain myth,1910,Grand Tour,first_high_mountain,grand_tour_mountain,mountain,primitive_equipment,"climb/fighting/stamina","恐怖耐性/負けん気","初めての超級山岳を再現するイベントカードに使う","はじめての巨人峠",seed
Paris-Roubaix mud edition,2001,Monument,mud_cobble_classic,one_day_monument,cobble,mud,"technique/fighting/stamina","負けん気/我慢","泥と石畳で落車・パンク・位置取りが連続する","泥の北方王冠",seed
Paris-Roubaix velodrome sprint,classic,Monument,velodrome_finish,one_day_monument,cobble,final_sprint,"sprint/technique/fighting","勝負勘/エゴ","石畳後の競技場スプリントで少人数決着","石畳競技場の決着",seed
Tour of Flanders Koppenberg chaos,classic,Monument,steep_cobbled_climb,one_day_monument,cobble_hill,crowd_narrow,"technique/climb/fighting","恐怖耐性/負けん気","急坂石畳で足つき・渋滞・位置取りが発生","聖丘の石畳渋滞",seed
Milan-San Remo Poggio attack,classic,Monument,late_poggio_attack,one_day_monument,hill,fast_descent,"sprint/technique/ego","勝負勘/エゴ","長距離後の短坂アタックか集団スプリントかを選ぶ","春港の最終丘",seed
Liege Bastogne Liege Ardennes attrition,classic,Monument,ardennes_attrition,one_day_monument,hill,cold_rain,"stamina/climb/fighting","我慢/負けん気","短い登りの連続でパンチャーと総合型が競る","老舗丘陵の消耗戦",seed
Il Lombardia autumn descent,classic,Monument,autumn_climber_classic,one_day_monument,hill_mountain,autumn_descent,"climb/technique/stamina","冷静さ/勝負勘","秋の山岳クラシックで下りと湖畔の位置取りが鍵","落葉湖畔クラシック",seed
World Championship long circuit,annual,Championship,national_pride_circuit,world_championship,hill,variable,"stamina/technique/ego","国の期待/負けん気","国別チームで走る長距離周回ワンデー","虹冠サーキット",seed
Olympic road race chaos,quadrennial,Championship,limited_team_tactics,world_championship,hill,small_teams,"stamina/ego/technique","孤独/判断","少人数代表チームで普段と違う戦術になる","五輪丘陵ロード",seed
